election_year;county_number;county;party_id;party_name;candidate_number;candidate_name;candidate_birthyear;candidate_residence;candidate_gender;date_part
2013;0100;Østfold;DEMN;Demokratene i Norge;2;Eva Engseth Herbert;1949;Sarpsborg;K;64
2013;0100;Østfold;DEMN;Demokratene i Norge;3;Kjell Mjønes;1956;Sarpsborg;M;57
2013;0100;Østfold;DEMN;Demokratene i Norge;4;Jan Erik Winås;1945;Aremark;M;68
2013;0100;Østfold;DEMN;Demokratene i Norge;5;Kjell Øivind Bjerk;1962;Sarpsborg;M;50
2013;0100;Østfold;DEMN;Demokratene i Norge;6;Elisabeth Rue Strencbo;1950;Tønsberg;K;63
2013;0100;Østfold;DEMN;Demokratene i Norge;7;Vidar Sveinung Kleppe;1963;Kristiansand;M;49
2013;0100;Østfold;DEMN;Demokratene i Norge;8;Mads Fredrik Lohne;1978;Halden;M;34
2013;0100;Østfold;DEMN;Demokratene i Norge;9;Håkan Ingvar Håkansson;1944;Rygge;M;69
2013;0100;Østfold;DEMN;Demokratene i Norge;10;Janne Hannestad;1953;Halden;K;59
2013;0100;Østfold;FRP;Fremskrittspartiet;1;Ulf Isak Leirstein;1973;Moss;M;40
2013;0100;Østfold;FRP;Fremskrittspartiet;2;Erlend Wiborg;1984;Moss;M;29
2013;0100;Østfold;FRP;Fremskrittspartiet;3;Håvard Jensen;1958;Hobøl;M;55
2013;0100;Østfold;FRP;Fremskrittspartiet;4;Eva Kristin Andersen;1972;Fredrikstad;K;41
2013;0100;Østfold;FRP;Fremskrittspartiet;5;Julia  Brännström;1991;Sarpsborg;K;21
2013;0100;Østfold;FRP;Fremskrittspartiet;6;Hanne Therese Myhrer;1974;Trøgstad;K;38
2013;0100;Østfold;FRP;Fremskrittspartiet;7;Frederikke Stensrød;1972;Råde;K;41
2013;0100;Østfold;FRP;Fremskrittspartiet;8;Per Egil Evensen;1950;Halden;M;62
2013;0100;Østfold;FRP;Fremskrittspartiet;9;Bjørnar Laabak;1961;Fredrikstad;M;52
2013;0100;Østfold;FRP;Fremskrittspartiet;10;Kai Roger Hagen;1972;Sarpsborg;M;41
2013;0100;Østfold;FRP;Fremskrittspartiet;11;Ingolf Ove Paller;1959;Askim;M;54
2013;0100;Østfold;FRP;Fremskrittspartiet;12;Lars Petter Lie;1972;Halden;M;40
2013;0100;Østfold;FRP;Fremskrittspartiet;13;Grethe  Aasgaard;1949;Askim;K;64
2013;0100;Østfold;FRP;Fremskrittspartiet;14;Eivind  Borge;1950;Hvaler;M;63
2013;0100;Østfold;H;Høyre;1;Ingjerd Schou;1955;Spydeberg;K;58
2013;0100;Østfold;H;Høyre;2;Bengt Morten Wenstøb;1963;Fredrikstad;M;50
2013;0100;Østfold;H;Høyre;3;Eirik Milde;1958;Halden;M;55
2013;0100;Østfold;H;Høyre;4;Tone Anette Damsleth;1971;Sarpsborg;K;42
2013;0100;Østfold;H;Høyre;5;Tage Pettersen;1972;Moss;M;41
2013;0100;Østfold;H;Høyre;6;Simen Nord;1989;Moss;M;24
2013;0100;Østfold;H;Høyre;7;Hilde Margrethe Gravnås;1980;Råde;K;32
2013;0100;Østfold;H;Høyre;8;Gretha Kant;1945;Moss;K;67
2013;0100;Østfold;H;Høyre;9;Peter Jan Henrik Kuran;1953;Fredrikstad;M;60
2013;0100;Østfold;H;Høyre;10;Stian Georg Bjerkebakke Westin;1990;Fredrikstad;M;22
2013;0100;Østfold;H;Høyre;11;Elham Binai-Faal;1981;Spydeberg;K;32
2013;0100;Østfold;H;Høyre;12;Lena Beate Karlsen;1966;Halden;K;46
2013;0100;Østfold;H;Høyre;13;Arne Hæhre;1956;Sarpsborg;M;57
2013;0100;Østfold;H;Høyre;14;Erik Mogens Unaas;1959;Eidsberg;M;54
2013;0100;Østfold;H;Høyre;15;Marthe Key Frøberg;1992;Askim;K;20
2013;0100;Østfold;KRF;Kristelig Folkeparti;1;Line Henriette Hjemdal;1971;Fredrikstad;K;41
2013;0100;Østfold;KRF;Kristelig Folkeparti;2;Knut Espeland;1963;Spydeberg;M;50
2013;0100;Østfold;KRF;Kristelig Folkeparti;3;Reine Cihiluka;1994;Halden;K;18
2013;0100;Østfold;KRF;Kristelig Folkeparti;4;Olav Moe;1968;Råde;M;45
2013;0100;Østfold;KRF;Kristelig Folkeparti;5;Britt  Egeland Gulbrandsen;1961;Spydeberg;K;52
2013;0100;Østfold;KRF;Kristelig Folkeparti;6;Ståle Solberg;1965;Sarpsborg;M;48
2013;0100;Østfold;KRF;Kristelig Folkeparti;7;Maria Moe;1994;Råde;K;19
2013;0100;Østfold;KRF;Kristelig Folkeparti;8;Finn Alexander Jensen;1966;Rygge;M;46
2013;0100;Østfold;KRF;Kristelig Folkeparti;9;Anne Siri Walle;1958;Moss;K;55
2013;0100;Østfold;KRF;Kristelig Folkeparti;10;Øivind Reymert;1962;Eidsberg;M;51
2013;0100;Østfold;KRF;Kristelig Folkeparti;11;Inger Lise Brække;1946;Sarpsborg;K;67
2013;0100;Østfold;KRF;Kristelig Folkeparti;12;Brynjar Høidebraaten;1963;Våler;M;50
2013;0100;Østfold;KRF;Kristelig Folkeparti;13;Turid Iren Almvik Meyer;1959;Fredrikstad;K;54
2013;0100;Østfold;KRF;Kristelig Folkeparti;14;Geir Mathias Hansen;1958;Sarpsborg;M;54
2013;0100;Østfold;KRF;Kristelig Folkeparti;15;Kari Haugen Pettersen;1952;Rømskog;K;61
2013;0100;Østfold;KSP;Kristent Samlingsparti;1;Gunnar Aamodt;1948;Fredrikstad;M;64
2013;0100;Østfold;KSP;Kristent Samlingsparti;2;Leonhard Johansen;1962;Sarpsborg;M;50
2013;0100;Østfold;KSP;Kristent Samlingsparti;3;Laila  Aamodt;1952;Fredrikstad;K;61
2013;0100;Østfold;KSP;Kristent Samlingsparti;4;Roger André Gjerstad-Olsen;1982;Bodø;M;30
2013;0100;Østfold;KSP;Kristent Samlingsparti;5;Lalita Johansen;1976;Sarpsborg;K;36
2013;0100;Østfold;KSP;Kristent Samlingsparti;6;Oddmund Hyldmo;1945;Stjørdal;M;68
2013;0100;Østfold;KSP;Kristent Samlingsparti;7;Unni Grethe Bergfald;1943;Trondheim;K;69
2013;0100;Østfold;KSP;Kristent Samlingsparti;8;Mette Follestad;1968;Asker;K;44
2013;0100;Østfold;KSP;Kristent Samlingsparti;9;Thor Petter Braarvig;1955;Røyken;M;58
2013;0100;Østfold;KSP;Kristent Samlingsparti;10;Elisabeth Sandvik;1938;Trondheim;K;75
2013;0100;Østfold;KYST;Kystpartiet;1;Bjørn Alexander Hansen;1945;Fredrikstad;M;68
2013;0100;Østfold;KYST;Kystpartiet;2;Knut Mathisen;1965;Fredrikstad;M;48
2013;0100;Østfold;KYST;Kystpartiet;3;Siv Paulsen Sagarino;1973;Sarpsborg;K;39
2013;0100;Østfold;KYST;Kystpartiet;4;Svein Rydningen;1977;Fredrikstad;M;35
2013;0100;Østfold;KYST;Kystpartiet;5;Wenche Kristiansen;1967;Rødøy;K;46
2013;0100;Østfold;KYST;Kystpartiet;6;Emil Revhaug;1989;Råde;M;24
2013;0100;Østfold;KYST;Kystpartiet;7;Robin Øberg;1986;Fredrikstad;M;26
2013;0100;Østfold;KYST;Kystpartiet;8;Kjell Egil Hansen;1938;Fredrikstad;M;74
2013;0100;Østfold;KYST;Kystpartiet;9;Per Uno Karlsen;1949;Rakkestad;M;64
2013;0100;Østfold;KYST;Kystpartiet;10;Niels-Oddvar Johansen;1972;Sarpsborg;M;41
2013;0100;Østfold;KYST;Kystpartiet;11;Erik Strand;1973;Tjøme;M;39
2013;0100;Østfold;KYST;Kystpartiet;12;Kjell Leif Bergtun;1951;Sandefjord;M;61
2013;0100;Østfold;KYST;Kystpartiet;13;Jan Andreassen;1956;Fredrikstad;M;57
2013;0100;Østfold;KYST;Kystpartiet;14;Knut-Roger Fagerheim;1955;Halden;M;58
2013;0100;Østfold;KYST;Kystpartiet;15;Hege Kolstad;1962;Tønsberg;K;51
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;1;Vidar Kristiansen;1951;Fredrikstad;M;62
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;2;Marlene Annabella Martin;1987;Sarpsborg;K;25
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;3;Marte Guttulsrød;1988;Moss;K;25
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;4;Vibeke Julsrud;1956;Halden;K;57
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;5;Odd Bergstøl;1943;Fredrikstad;M;69
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;6;Bjørn Ring Opjordsmoen;1941;Spydeberg;M;71
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;7;Mathilde Simonsen Dahl;1977;Hobøl;K;36
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;8;Lorentz  Kvammen;1957;Halden;M;56
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;9;May-Helen Væhle;1962;Sarpsborg;K;50
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;10;Jeppe Pettersen;1952;Fredrikstad;M;60
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;11;Lexander Wist;1988;Moss;M;25
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;12;Isak Thomas Anderssen;1973;Hobøl;M;40
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;13;Hanne-Grete Ramstad;1964;Sarpsborg;K;49
2013;0100;Østfold;MDG;Miljøpartiet De Grønne;14;Jonas Sjolte;1980;Moss;M;33
2013;0100;Østfold;PP;Pensjonistpartiet;1;Hans Glomsrud;1941;Fredrikstad;M;72
2013;0100;Østfold;PP;Pensjonistpartiet;2;Lisa Brøndelsbo;1944;Fredrikstad;K;68
2013;0100;Østfold;PP;Pensjonistpartiet;3;Erik Due;1951;Sarpsborg;M;62
2013;0100;Østfold;PP;Pensjonistpartiet;4;Marie Tindlund Haugaløkken;1991;Fredrikstad;K;22
2013;0100;Østfold;PP;Pensjonistpartiet;5;Odd Sæthre;1927;Halden;M;86
2013;0100;Østfold;PP;Pensjonistpartiet;6;Marion Eline Johansen;1941;Moss;K;72
2013;0100;Østfold;PP;Pensjonistpartiet;7;Egil Arne Jarbro;1937;Halden;M;75
2013;0100;Østfold;PP;Pensjonistpartiet;8;Inger Johanne Ous;1949;Fredrikstad;K;63
2013;0100;Østfold;PP;Pensjonistpartiet;9;Rolf Midtvåge;1935;Sarpsborg;M;77
2013;0100;Østfold;PP;Pensjonistpartiet;10;Grethe Johannessen;1939;Moss;K;74
2013;0100;Østfold;PP;Pensjonistpartiet;11;Ingeliv Flote;1945;Fredrikstad;K;67
2013;0100;Østfold;PP;Pensjonistpartiet;12;Tore Grindebakken;1944;Sarpsborg;M;68
2013;0100;Østfold;PP;Pensjonistpartiet;13;Laila Sørlie;1950;Halden;K;63
2013;0100;Østfold;PP;Pensjonistpartiet;14;Gro Solhaug;1947;Fredrikstad;K;65
2013;0100;Østfold;PP;Pensjonistpartiet;15;Arild Johannessen;1937;Moss;M;76
2013;0100;Østfold;PIR;Piratpartiet;1;Michael Andersen Lundsveen;1989;Halden;M;24
2013;0100;Østfold;PIR;Piratpartiet;2;Kai Terje Hagali;1969;Halden;M;44
2013;0100;Østfold;PIR;Piratpartiet;3;Kent Owe Maurdal;1984;Sarpsborg;M;29
2013;0100;Østfold;PIR;Piratpartiet;4;Torbjørn Jørgensen;1985;Halden;M;28
2013;0100;Østfold;PIR;Piratpartiet;5;Linda Tanutra Jonassen;1990;Sarpsborg;K;22
2013;0100;Østfold;PIR;Piratpartiet;6;Fredrik Myrtun Eriksen;1982;Trøgstad;M;31
2013;0100;Østfold;PIR;Piratpartiet;7;Ole-Kristian Hennum Gulbrandsen;1990;Halden;M;22
2013;0100;Østfold;PIR;Piratpartiet;8;Marius Alexander Grimsrud;1990;Sarpsborg;M;22
2013;0100;Østfold;PIR;Piratpartiet;9;Ali Reza Nouri;1981;Oslo;M;31
2013;0100;Østfold;RØDT;Rødt;1;Eirik Tveiten;1946;Moss;M;66
2013;0100;Østfold;RØDT;Rødt;2;Brit Langvik;1962;Fredrikstad;K;50
2013;0100;Østfold;RØDT;Rødt;3;Jon Michelet;1944;Rygge;M;69
2013;0100;Østfold;RØDT;Rødt;4;Cecilie Skaug;1973;Sarpsborg;K;39
2013;0100;Østfold;RØDT;Rødt;5;Erling Rennemo-Melsom;1961;Halden;M;51
2013;0100;Østfold;RØDT;Rødt;6;Abdulrahman Hussein Abbas;1958;Våler;M;55
2013;0100;Østfold;RØDT;Rødt;7;Kristine Unnemark-Berntsen;1983;Fredrikstad;K;30
2013;0100;Østfold;RØDT;Rødt;8;Heidi Schømer;1973;Halden;K;40
2013;0100;Østfold;RØDT;Rødt;9;Per Sætre;1968;Sarpsborg;M;45
2013;0100;Østfold;RØDT;Rødt;10;Grete Rosengren;1969;Moss;K;44
2013;0100;Østfold;RØDT;Rødt;11;Torill Sørenssen;1959;Rygge;K;53
2013;0100;Østfold;RØDT;Rødt;12;Stefi Christina Skarsem Fjeld;1983;Våler;K;30
2013;0100;Østfold;RØDT;Rødt;13;Mette Enggrav;1961;Sarpsborg;K;51
2013;0100;Østfold;RØDT;Rødt;14;Einar Børresen;1976;Fredrikstad;M;37
2013;0100;Østfold;RØDT;Rødt;15;Kjersti Hellem;1952;Sarpsborg;K;61
2013;0100;Østfold;SP;Senterpartiet;1;Per Inge Bjerknes;1979;Sarpsborg;M;34
2013;0100;Østfold;SP;Senterpartiet;2;Anne-Kari Holm;1945;Halden;K;68
2013;0100;Østfold;SP;Senterpartiet;3;Lars Vangen;1987;Trøgstad;M;26
2013;0100;Østfold;SP;Senterpartiet;4;Karoline Fjeldstad;1979;Rakkestad;K;33
2013;0100;Østfold;SP;Senterpartiet;5;Johan Edvard Grimstad;1964;Råde;M;48
2013;0100;Østfold;SP;Senterpartiet;6;Jeanette Myrvold Jansson;1971;Rømskog;K;42
2013;0100;Østfold;SP;Senterpartiet;7;Ole Andre Myhrvold;1978;Trøgstad;M;35
2013;0100;Østfold;SP;Senterpartiet;8;Elin  Tvete;1976;Fredrikstad;K;36
2013;0100;Østfold;SP;Senterpartiet;9;Geir Aarbu;1968;Aremark;M;45
2013;0100;Østfold;SP;Senterpartiet;10;Ragnhild Duserud;1991;Eidsberg;K;21
2013;0100;Østfold;SP;Senterpartiet;11;Sten Morten Henningsmoen;1973;Marker;M;40
2013;0100;Østfold;SP;Senterpartiet;12;Anne-Grethe Larsen;1965;Skiptvet;K;48
2013;0100;Østfold;SP;Senterpartiet;13;Christin Rensmoen;1962;Askim;K;50
2013;0100;Østfold;SP;Senterpartiet;14;Reidar Kaabbel;1974;Våler;M;38
2013;0100;Østfold;SP;Senterpartiet;15;Bente Sand;1963;Hobøl;K;49
2013;0100;Østfold;SV;Sosialistisk Venstreparti;1;May Elisabeth Hansen;1953;Moss;K;60
2013;0100;Østfold;SV;Sosialistisk Venstreparti;2;Åsmund Møll Frengstad;1985;Halden;M;27
2013;0100;Østfold;SV;Sosialistisk Venstreparti;3;Bjørg Sabrin Timraz;1993;Spydeberg;K;19
2013;0100;Østfold;SV;Sosialistisk Venstreparti;4;Freddy André Øvstegård;1994;Sarpsborg;M;18
2013;0100;Østfold;SV;Sosialistisk Venstreparti;5;Kari-Mette Fjell;1965;Eidsberg;K;48
2013;0100;Østfold;SV;Sosialistisk Venstreparti;6;Øyvind Fjeldberg;1953;Hvaler;M;59
2013;0100;Østfold;SV;Sosialistisk Venstreparti;7;Mays Dakhil;1995;Fredrikstad;K;18
2013;0100;Østfold;SV;Sosialistisk Venstreparti;8;Camilla Sørensen Eidsvold;1964;Fredrikstad;K;49
2013;0100;Østfold;SV;Sosialistisk Venstreparti;9;Roy Eilertsen;1948;Halden;M;65
2013;0100;Østfold;SV;Sosialistisk Venstreparti;10;Ann Karin Bach;1966;Sarpsborg;K;47
2013;0100;Østfold;SV;Sosialistisk Venstreparti;11;Mari Fjell;1992;Eidsberg;K;20
2013;0100;Østfold;SV;Sosialistisk Venstreparti;12;Heidi Larsen;1958;Fredrikstad;K;55
2013;0100;Østfold;SV;Sosialistisk Venstreparti;13;Anita Lyngholm;1979;Moss;K;33
2013;0100;Østfold;SV;Sosialistisk Venstreparti;14;Marius Rivert Hagen;1980;Sarpsborg;M;33
2013;0100;Østfold;SV;Sosialistisk Venstreparti;15;Jon Aga;1942;Rygge;M;71
2013;0100;Østfold;V;Venstre;1;Per Magnus Finnanger Sandsmark;1989;Halden;M;23
2013;0100;Østfold;V;Venstre;2;Martine Helena Lindh Løkke;1993;Sarpsborg;K;19
2013;0100;Østfold;V;Venstre;3;Christiane Sofie Skahjem;1976;Fredrikstad;K;37
2013;0100;Østfold;V;Venstre;4;Joakim Hvamb Sveli;1980;Moss;M;32
2013;0100;Østfold;V;Venstre;5;Simen Saxebøl;1978;Hobøl;M;35
2013;0100;Østfold;V;Venstre;6;Finn-Erik Blakstad;1973;Rygge;M;39
2013;0100;Østfold;V;Venstre;7;Ingunn Herstad Hensel;1972;Eidsberg;K;40
2013;0100;Østfold;V;Venstre;8;Azra Sudic Süslü;1974;Spydeberg;K;38
2013;0100;Østfold;V;Venstre;9;Maren Johanne Hersleth Holsen;1976;Eidsberg;K;37
2013;0100;Østfold;V;Venstre;10;Mona Inger Nordgren;1950;Hvaler;K;62
2013;0100;Østfold;V;Venstre;11;Inge Jensen Rindedal;1968;Askim;M;45
2013;0100;Østfold;V;Venstre;12;Sindre Westerlund Mork;1961;Moss;M;51
2013;0100;Østfold;V;Venstre;13;Espen Storeheier;1972;Rakkestad;M;40
2013;0100;Østfold;V;Venstre;14;Sohrab Darisiro;1985;Halden;M;28
2013;0100;Østfold;V;Venstre;15;Elin Marie Johannessen;1985;Råde;K;27
2013;0200;Akershus;A;Arbeiderpartiet;1;Anniken Huitfeldt;1969;Ullensaker;K;43
2013;0200;Akershus;A;Arbeiderpartiet;2;Sverre Myrli;1971;Skedsmo;M;41
2013;0200;Akershus;A;Arbeiderpartiet;3;Marianne Aasen;1967;Asker;K;46
2013;0200;Akershus;A;Arbeiderpartiet;4;Åsmund Grøver Aukrust;1985;Bærum;M;28
2013;0200;Akershus;A;Arbeiderpartiet;5;Gunvor Eldegard;1963;Ski;K;50
2013;0200;Akershus;A;Arbeiderpartiet;6;Are Helseth;1955;Bærum;M;58
2013;0200;Akershus;A;Arbeiderpartiet;7;Anne Odenmarck;1955;Ås;K;58
2013;0200;Akershus;A;Arbeiderpartiet;8;Mani Hussaini;1987;Ullensaker;M;25
2013;0200;Akershus;A;Arbeiderpartiet;9;Elin Maria L'Estrange;1987;Ullensaker;K;26
2013;0200;Akershus;A;Arbeiderpartiet;10;Halvard Ingebrigtsen;1970;Lørenskog;M;42
2013;0200;Akershus;A;Arbeiderpartiet;11;Lara Rashid;1994;Bærum;K;18
2013;0200;Akershus;A;Arbeiderpartiet;12;Erik Berg Olsen;1969;Fet;M;44
2013;0200;Akershus;A;Arbeiderpartiet;13;Kari Seljelid;1946;Bærum;K;67
2013;0200;Akershus;A;Arbeiderpartiet;14;Kjell Engebretsen;1941;Frogn;M;72
2013;0200;Akershus;A;Arbeiderpartiet;15;Solav Abbas;1970;Asker;K;42
2013;0200;Akershus;A;Arbeiderpartiet;16;Stein Lie;1961;Aurskog-Høland;M;52
2013;0200;Akershus;A;Arbeiderpartiet;17;Kathrine Raadim;1972;Rælingen;K;40
2013;0200;Akershus;A;Arbeiderpartiet;18;Sten Magne Berglund;1976;Sørum;M;37
2013;0200;Akershus;A;Arbeiderpartiet;19;Vilde Lofthus Rooth;1991;Skedsmo;K;21
2013;0200;Akershus;A;Arbeiderpartiet;20;Jørn Fraurud;1955;Eidsvoll;M;58
2013;0200;Akershus;A;Arbeiderpartiet;21;Kirsten Natvig;1966;Bærum;K;47
2013;0200;Akershus;A;Arbeiderpartiet;22;Ivar Horneland Kristensen;1968;Asker;M;45
2013;0200;Akershus;A;Arbeiderpartiet;23;Nina Sandberg;1967;Nesodden;K;46
2013;0200;Akershus;KRISTNE;De Kristne;1;Geir Wessel Stadheim;1948;Bærum;M;64
2013;0200;Akershus;KRISTNE;De Kristne;2;Mimi Tran-Nha Nguyen;1976;Oslo;K;37
2013;0200;Akershus;KRISTNE;De Kristne;3;Ivar Kolstad;1947;Nesodden;M;66
2013;0200;Akershus;KRISTNE;De Kristne;4;Francis K. Acquah;1973;Oslo;M;39
2013;0200;Akershus;KRISTNE;De Kristne;5;Ellen Gulli Petersen;1938;Nittedal;K;75
2013;0200;Akershus;KRISTNE;De Kristne;6;Vigdis Øygun Wilhelmsen;1944;Oslo;K;68
2013;0200;Akershus;KRISTNE;De Kristne;7;Terje Hansen;1965;Bærum;M;48
2013;0200;Akershus;KRISTNE;De Kristne;8;Adjoa Aduako Badu;1984;Oslo;K;29
2013;0200;Akershus;KRISTNE;De Kristne;9;Johny Oddleif Røst;1950;Oslo;M;63
2013;0200;Akershus;KRISTNE;De Kristne;10;Natacha Uwitonze Gatete;1982;Ski;K;31
2013;0200;Akershus;KRISTNE;De Kristne;11;Manh Chung Tu;1961;Oslo;M;52
2013;0200;Akershus;KRISTNE;De Kristne;12;Wenche Charlotte Almnes;1974;Asker;K;39
2013;0200;Akershus;KRISTNE;De Kristne;13;Lisa Hasselberg;1981;Oslo;K;31
2013;0200;Akershus;KRISTNE;De Kristne;14;Stein S. Tinnå;1950;Oslo;M;62
2013;0200;Akershus;KRISTNE;De Kristne;15;Harald Ødegård Holmboe;1962;Bærum;M;51
2013;0200;Akershus;KRISTNE;De Kristne;16;Ingjerd Birkeland;1956;Oslo;K;57
2013;0200;Akershus;KRISTNE;De Kristne;17;Chau Trung Le;1967;Rælingen;M;45
2013;0200;Akershus;KRISTNE;De Kristne;18;Olav Grimdalen;1934;Oslo;M;78
2013;0200;Akershus;KRISTNE;De Kristne;19;Christina Tran;1977;Rælingen;K;36
2013;0200;Akershus;KRISTNE;De Kristne;20;Tore Paulsen;1934;Oslo;M;79
2013;0200;Akershus;DEMN;Demokratene i Norge;1;Ole Normann Strømnes;1951;Nesodden;M;62
2013;0200;Akershus;DEMN;Demokratene i Norge;2;Frank Harald Solbakken;1963;Ski;M;49
2013;0200;Akershus;DEMN;Demokratene i Norge;3;Monica Rue;1967;Tønsberg;K;45
2013;0200;Akershus;DEMN;Demokratene i Norge;4;Svein Otto Nilsen;1956;Trondheim;M;57
2013;0200;Akershus;DEMN;Demokratene i Norge;5;Elise Hoel;1982;Nesodden;K;30
2013;0200;Akershus;DEMN;Demokratene i Norge;6;Jan Simonsen;1953;Rælingen;M;60
2013;0200;Akershus;DEMN;Demokratene i Norge;7;Elisabeth Rue Strencbo;1950;Tønsberg;K;63
2013;0200;Akershus;DEMN;Demokratene i Norge;8;William Bakke;1965;Vestby;M;48
2013;0200;Akershus;DEMN;Demokratene i Norge;9;Frank Roger Lindås;1972;Eidsvoll;M;41
2013;0200;Akershus;DEMN;Demokratene i Norge;10;Ole Morten Johnsen;1959;Aurskog-Høland;M;54
2013;0200;Akershus;DEMN;Demokratene i Norge;11;Vidar Sveinung Kleppe;1963;Kristiansand;M;49
2013;0200;Akershus;DEMN;Demokratene i Norge;12;Ragnhild Hokholt;1960;Nesodden;K;52
2013;0200;Akershus;DEMN;Demokratene i Norge;13;Vidar Sollie;1966;Sørum;M;47
2013;0200;Akershus;DEMN;Demokratene i Norge;14;Anne Gotaas;1965;Ski;K;48
2013;0200;Akershus;DEMN;Demokratene i Norge;15;Odd Gjertsen;1948;Nesodden;M;64
2013;0200;Akershus;DEMN;Demokratene i Norge;16;Vidar Krange;1971;Frogn;M;42
2013;0200;Akershus;DEMN;Demokratene i Norge;17;Rune Stene;1964;Nesodden;M;48
2013;0200;Akershus;DEMN;Demokratene i Norge;18;Per Magnus Bing;1980;Fet;M;33
2013;0200;Akershus;DEMN;Demokratene i Norge;19;Unni Karjalainen;1956;Nesodden;K;57
2013;0200;Akershus;DEMN;Demokratene i Norge;20;Dag Sturla Blomli;1958;Ullensaker;M;55
2013;0200;Akershus;DEMN;Demokratene i Norge;21;May W. Marø;1974;Aurskog-Høland;K;38
2013;0200;Akershus;DLF;Det Liberale Folkepartiet;1;Per Arne Karlsen;1972;Oppegård;M;41
2013;0200;Akershus;DLF;Det Liberale Folkepartiet;2;Lasse Kleive Lien;1988;Bergen;M;24
2013;0200;Akershus;DLF;Det Liberale Folkepartiet;3;Martin Johansen;1984;Oslo;M;29
2013;0200;Akershus;DLF;Det Liberale Folkepartiet;4;Petter Sandstad;1987;Oslo;M;25
