KOMMNR;KOMMUNE;PARTIKODE;PARTINAVN;PLASSNR;NAVN;FØDT;KJØNN;STEMMETILLEGG;STILTE 2007
0101;Halden;A;Det norske Arbeiderparti;33;Edna Margaret Henriksen;1932;K;N;J
0101;Halden;A;Det norske Arbeiderparti;34;John Erik Eriksen;1944;M;N;J
0101;Halden;A;Det norske Arbeiderparti;35;Marte-Margr L A Klanderud;1979;K;N;J
0101;Halden;A;Det norske Arbeiderparti;36;Odd Riise;1949;M;N;J
0101;Halden;A;Det norske Arbeiderparti;37;Ann-Rose Dahl;1959;K;N;J
0101;Halden;A;Det norske Arbeiderparti;38;Christian Dahl Hansen;1990;M;N;J
0101;Halden;A;Det norske Arbeiderparti;39;Ann-Kristin Samuelsen;1963;K;N;J
0101;Halden;A;Det norske Arbeiderparti;40;Eivind Ottersen;1956;M;N;J
0101;Halden;A;Det norske Arbeiderparti;41;Cathrine Eng Skotnes;1992;K;N;J
0101;Halden;A;Det norske Arbeiderparti;42;Jan Magnar Hansen;1962;M;N;J
0101;Halden;A;Det norske Arbeiderparti;43;Sandra Marie Bøe Myrvang;1993;K;N;J
0101;Halden;A;Det norske Arbeiderparti;44;Øystein E Aakerman Jensen;1968;M;N;J
0101;Halden;A;Det norske Arbeiderparti;45;Jenny Hovland Johanson;1993;K;N;J
0101;Halden;A;Det norske Arbeiderparti;46;Aasmund Ragnar Sjøberg;1931;M;N;J
0101;Halden;A;Det norske Arbeiderparti;47;Malin Stanes;1981;K;N;J
0101;Halden;A;Det norske Arbeiderparti;48;Kent Morgan Bye;1971;M;N;J
0101;Halden;DEMN;Demokratene i Norge;1;Tor-Arne Hæger Berg;1983;M;N;N
0101;Halden;DEMN;Demokratene i Norge;2;Mads Fredrik Lohne;1978;M;N;N
0101;Halden;DEMN;Demokratene i Norge;3;Britt Karine Aspelund;1991;K;N;N
0101;Halden;DEMN;Demokratene i Norge;4;Tom Heine Olsen;1981;M;N;N
0101;Halden;DEMN;Demokratene i Norge;5;Haakon-Jarle Revheim;1961;M;N;N
0101;Halden;DEMN;Demokratene i Norge;6;Hans Reidar Stjernevall;1981;M;N;N
0101;Halden;DEMN;Demokratene i Norge;7;Kjetil Johannessen;1972;M;N;N
0101;Halden;FRP;Fremskrittspartiet;1;Per Egil Evensen;1950;M;J;J
0101;Halden;FRP;Fremskrittspartiet;2;Egil Lund Pettersen;1964;M;J;J
0101;Halden;FRP;Fremskrittspartiet;3;Tove Kristin Fager;1969;K;J;J
0101;Halden;FRP;Fremskrittspartiet;4;Keta Dimitrova Bjørndal;1969;K;J;J
0101;Halden;FRP;Fremskrittspartiet;5;Finn David Dahl;1935;M;J;J
0101;Halden;FRP;Fremskrittspartiet;6;Kurt Vegar Ø Johansen;1982;M;J;J
0101;Halden;FRP;Fremskrittspartiet;7;Carina Wattum Glende;1985;K;N;J
0101;Halden;FRP;Fremskrittspartiet;8;Eva Evita Lexander;1980;K;N;J
0101;Halden;FRP;Fremskrittspartiet;9;Karl-Erik Hovland;1971;M;N;J
0101;Halden;FRP;Fremskrittspartiet;10;Kjell Tore Karlsen;1971;M;N;J
0101;Halden;FRP;Fremskrittspartiet;11;Eva Mette Jørgensen;1957;K;N;J
0101;Halden;FRP;Fremskrittspartiet;12;Lars Petter Lie;1972;M;N;J
0101;Halden;FRP;Fremskrittspartiet;13;Tom Karsten Jørgensen;1954;M;N;J
0101;Halden;FRP;Fremskrittspartiet;14;Catharina Andersen;1988;K;N;J
0101;Halden;FRP;Fremskrittspartiet;15;Christer Olsen;1990;M;N;J
0101;Halden;FRP;Fremskrittspartiet;16;Christer André Nilssen;1975;M;N;J
0101;Halden;FRP;Fremskrittspartiet;17;Hans-Erik Ask Nikolaisen;1975;M;N;J
0101;Halden;FRP;Fremskrittspartiet;18;Mona Klevmo;1973;K;N;J
0101;Halden;FRP;Fremskrittspartiet;19;Jon Erik Unneberg;1935;M;N;J
0101;Halden;FRP;Fremskrittspartiet;20;Dag Halvorsen;1966;M;N;J
0101;Halden;FRP;Fremskrittspartiet;21;Inger Geitle Midttun;1978;K;N;J
0101;Halden;FRP;Fremskrittspartiet;22;Øivind Rød;1947;M;N;J
0101;Halden;FRP;Fremskrittspartiet;23;Henrik Erichsen;1960;M;N;J
0101;Halden;FRP;Fremskrittspartiet;24;Christian A H Furebotten;1987;M;N;J
0101;Halden;FRP;Fremskrittspartiet;25;Henrik Rød;1975;M;N;J
0101;Halden;FRP;Fremskrittspartiet;26;Victor Emanuel Dahle;1967;M;N;J
0101;Halden;FRP;Fremskrittspartiet;27;Lars Christian Galåen;1966;M;N;J
0101;Halden;H;Høyre;1;Thor Håkon Edquist;1954;M;J;J
0101;Halden;H;Høyre;2;Lena Beate Karlsen;1966;K;J;J
0101;Halden;H;Høyre;3;Carl-Victor Sundling;1951;M;J;J
0101;Halden;H;Høyre;4;Else-Kathrine Hveding;1938;K;J;J
0101;Halden;H;Høyre;5;Roar Lund;1965;M;N;J
0101;Halden;H;Høyre;6;Jan-Erik Erichsen;1940;M;N;J
0101;Halden;H;Høyre;7;Lisa Anker-Rasch Strøm;1990;K;N;J
0101;Halden;H;Høyre;8;Jan-Erik Herft;1968;M;N;J
0101;Halden;H;Høyre;9;Eivor Held Langseth;1953;K;N;J
0101;Halden;H;Høyre;10;Ronny Nordmark;1970;M;N;J
0101;Halden;H;Høyre;11;Torunn Lund Clasen;1967;K;N;J
0101;Halden;H;Høyre;12;Svein Håkon Pedersen;1938;M;N;J
0101;Halden;H;Høyre;13;Anita Irene Lunde Warberg;1958;K;N;J
0101;Halden;H;Høyre;14;Arne Hornæs;1954;M;N;J
0101;Halden;H;Høyre;15;Eilert Johannes Vikesland;1941;M;N;J
0101;Halden;H;Høyre;16;Inger Elisabeth Blomsnes;1939;K;N;J
0101;Halden;H;Høyre;17;Erlan Aastebøl;1954;M;N;J
0101;Halden;H;Høyre;18;Eirik Milde;1958;M;N;J
0101;Halden;H;Høyre;19;Aase S Strømberg Kielland;1949;K;N;J
0101;Halden;H;Høyre;20;Stein Bukholm;1950;M;N;J
0101;Halden;H;Høyre;21;Kathrine Walthinsen;1965;K;N;J
0101;Halden;H;Høyre;22;Jan Aage Moen;1944;M;N;J
0101;Halden;H;Høyre;23;Irma Moen Eriksen;1934;K;N;J
0101;Halden;H;Høyre;24;Lars Åge Seim;1944;M;N;J
0101;Halden;H;Høyre;25;Danuta Aniela Tomczak;1946;K;N;J
0101;Halden;H;Høyre;26;Hans Martin Magnussen;1946;M;N;J
0101;Halden;H;Høyre;27;Else Margrethe Milde;1931;K;N;J
0101;Halden;H;Høyre;28;Terje Martin Lie;1949;M;N;J
0101;Halden;H;Høyre;29;Bent Asgeir Larsen;1955;M;N;J
0101;Halden;H;Høyre;30;Jorunn Flakstad Torgersen;1936;K;N;J
0101;Halden;H;Høyre;31;Karsten Wiig;1959;M;N;J
0101;Halden;H;Høyre;32;Tor Hveding;1933;M;N;J
0101;Halden;H;Høyre;33;Ann Kristin Øye;1961;K;N;J
0101;Halden;H;Høyre;34;Magnus Øvreeide;1930;M;N;J
0101;Halden;H;Høyre;35;Arild Klingstrøm;1966;M;N;J
0101;Halden;H;Høyre;36;Caroline Stranger;1988;K;N;J
0101;Halden;KRF;Kristelig Folkeparti;1;Morten Christoffersen;1972;M;J;J
0101;Halden;KRF;Kristelig Folkeparti;2;Gerd-Berit Odberg;1946;K;J;J
0101;Halden;KRF;Kristelig Folkeparti;3;Erik Matias Parmer;1961;M;J;J
0101;Halden;KRF;Kristelig Folkeparti;4;Merete Bogen;1969;K;N;J
0101;Halden;KRF;Kristelig Folkeparti;5;Øystein Lillås;1948;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;6;Dagfinn Stærk;1950;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;7;George Odrajia Atayo;1952;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;8;Egil Olav Thorem (Torgersen);1933;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;9;Willie Chonnie Gottås;1945;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;10;Per-Arne Christoffersen;1965;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;11;Arnt Christian Hagen;1964;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;12;Per Osvald Mathiesen;1933;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;13;Øyvind Thomas Gloslie;1976;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;14;Karin Brannstøl;1922;K;N;J
0101;Halden;KRF;Kristelig Folkeparti;15;Håvard Bogen;1958;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;16;Bjørg Åslaug G Mathiesen;1935;K;N;J
0101;Halden;KRF;Kristelig Folkeparti;17;Kenneth Torgalsbøen;1968;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;18;Knut Einar Haugen;1939;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;19;Aud Marie Demma Lillås;1952;K;N;J
0101;Halden;KRF;Kristelig Folkeparti;20;Stein Johnny Johnsen;1951;M;N;J
0101;Halden;KRF;Kristelig Folkeparti;21;Reidun Elise M Vik-Haugen;1939;K;N;J
0101;Halden;KRF;Kristelig Folkeparti;22;Jan Larsen;1951;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;1;Vibeke Julsrud;1956;K;J;J
0101;Halden;MDG;Miljøpartiet De Grønne;2;Øivind Holt;1947;M;J;J
0101;Halden;MDG;Miljøpartiet De Grønne;3;Hans Jan Bjerkely;1940;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;4;Ingrid Margrethe Davidsen;1958;K;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;5;Lorentz Erik Kvammen;1957;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;6;Hege Anette Vold Jensen;1962;K;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;7;Ole Sigmund Aasen;1957;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;8;Marit Eriksen;1956;K;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;9;Espen Glomsrød;1958;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;10;Trine Lise Uldalen;1955;K;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;11;Arild Einar Syvertsen;1953;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;12;Terje Johnsen;1960;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;13;Ole-Magnus Olsen;1971;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;14;Magne Staal;1961;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;15;Raymond Svendsen;1970;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;16;Ingvild Andersson Julsrud;1988;K;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;17;Ted Einar Aarum;1984;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;18;Ronald Erwin Arno Nolet;1954;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;19;Harald Oseland;1965;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;20;Tor Karsten Heide;1954;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;21;Dag Ronny Pettersen;1964;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;22;Rune Kinnerød;1975;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;23;Christine Bjar Ottesen;1974;K;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;24;Øyvind Julsrud;1992;M;N;J
0101;Halden;MDG;Miljøpartiet De Grønne;25;Ola Berglund;1948;M;N;J
0101;Halden;PP;Pensjonistpartiet;1;Odd Anton Sæthre;1927;M;J;J
0101;Halden;PP;Pensjonistpartiet;2;Olav Thunshelle;1930;M;J;J
0101;Halden;PP;Pensjonistpartiet;3;Egil Arne Jarbro;1937;M;N;J
0101;Halden;PP;Pensjonistpartiet;4;Laila Irene Sørlie;1950;K;N;J
0101;Halden;PP;Pensjonistpartiet;5;Ethel Berit Brodersen;1925;K;N;J
0101;Halden;PP;Pensjonistpartiet;6;Erik Thorbjørn Aas;1935;M;N;J
0101;Halden;PP;Pensjonistpartiet;7;Rigmor Birgitte Sæthre;1933;K;N;J
0101;Halden;PP;Pensjonistpartiet;8;Erik Daniel Boberg Sues;1926;M;N;J
0101;Halden;PP;Pensjonistpartiet;9;Rigmor Marie Andersen;1945;K;N;J
0101;Halden;RØDT;Rødt;1;Ann-Kristin Grødahl;1968;K;J;J
0101;Halden;RØDT;Rødt;2;Fereshteh Golparvar;1962;K;J;J
0101;Halden;RØDT;Rødt;3;Jan Tore Harlyng;1951;M;J;J
0101;Halden;RØDT;Rødt;4;Esir Mohammmed Ali;1963;K;J;J
0101;Halden;RØDT;Rødt;5;Bjørn Terje Schømer;1991;M;N;J
0101;Halden;RØDT;Rødt;6;Amina Samater Mohammed;1983;K;N;J
0101;Halden;RØDT;Rødt;7;Jan-Erik Andersen;1951;M;N;J
0101;Halden;RØDT;Rødt;8;Camilla Storm Glomsrød;1978;K;N;J
0101;Halden;RØDT;Rødt;9;Ole Martin Størholdt;1970;M;N;J
0101;Halden;RØDT;Rødt;10;Inka Anna L Burckhardt;1951;K;N;J
0101;Halden;RØDT;Rødt;11;Morten Rølling;1962;M;N;J
0101;Halden;RØDT;Rødt;12;Ingrid Synøve Klavestad;1948;K;N;J
0101;Halden;RØDT;Rødt;13;Carl Anders Wingren;1949;M;N;J
0101;Halden;RØDT;Rødt;14;Kirsti Eng;1953;K;N;J
0101;Halden;RØDT;Rødt;15;Pezhman Husseini;1990;M;N;J
0101;Halden;RØDT;Rødt;16;Isolda Sonishvili;1947;K;N;J
0101;Halden;RØDT;Rødt;17;Asle Larsen;1964;M;N;J
0101;Halden;RØDT;Rødt;18;Zahra Shahrokhi;1966;K;N;J
0101;Halden;RØDT;Rødt;19;Tom Balstad;1948;M;N;J
0101;Halden;RØDT;Rødt;20;Britt Olsen Velund;1954;K;N;J
0101;Halden;RØDT;Rødt;21;Arne Nygaard;1952;M;N;J
0101;Halden;RØDT;Rødt;22;Christin Storm;1971;K;N;J
0101;Halden;RØDT;Rødt;23;Michael A Lundsveen;1989;M;N;J
0101;Halden;RØDT;Rødt;24;Kari Sofie Storm Andersen;1952;K;N;J
0101;Halden;RØDT;Rødt;25;Roger James Hansen;1948;M;N;J
0101;Halden;RØDT;Rødt;26;Farah Myran;1964;K;N;J
0101;Halden;RØDT;Rødt;27;Knut Munch Søegaard;1951;M;N;J
0101;Halden;RØDT;Rødt;28;Britt Karine Linge;1942;K;N;J
0101;Halden;RØDT;Rødt;29;Herløv Vidar Arne Haug;1946;M;N;J
0101;Halden;RØDT;Rødt;30;Anja C Nordby-Larsen;1979;K;N;J
0101;Halden;RØDT;Rødt;31;Per Eldar Linge;1943;M;N;J
0101;Halden;RØDT;Rødt;32;Ann-Charlott Kindblad;1969;K;N;J
0101;Halden;RØDT;Rødt;33;Edmund Edgar Eide;1933;M;N;J
0101;Halden;RØDT;Rødt;34;Sølvi Hammerseth;1962;K;N;J
0101;Halden;RØDT;Rødt;35;Per Arnold Nilsen;1950;M;N;J
0101;Halden;RØDT;Rødt;36;Sara Sayar;1992;K;N;J
0101;Halden;RØDT;Rødt;37;Stein Andersen;1946;M;N;J
0101;Halden;RØDT;Rødt;38;Kari Dahle;1949;K;N;J
0101;Halden;SP;Senterpartiet;1;Yngvar Holt;1944;M;J;J
0101;Halden;SP;Senterpartiet;2;Anne-Kari Holm;1945;K;J;J
0101;Halden;SP;Senterpartiet;3;Inger Elisabeth Haugene;1943;K;J;J
0101;Halden;SP;Senterpartiet;4;Ole Roald Amundsen;1950;M;N;J
0101;Halden;SP;Senterpartiet;5;Hans Kjell Thorfin Moen;1942;M;N;J
0101;Halden;SP;Senterpartiet;6;Knut Olav Heie;1938;M;N;J
0101;Halden;SP;Senterpartiet;7;Randi Helene Hjørnegård;1948;K;N;J
0101;Halden;SP;Senterpartiet;8;Svend Inge Haugene Hansen;1966;M;N;J
0101;Halden;SP;Senterpartiet;9;Sissel Hildebrand Jensen;1960;K;N;J
0101;Halden;SP;Senterpartiet;10;Jan Arnstein Svendsen;1942;M;N;J
0101;Halden;SP;Senterpartiet;11;Line Elisabeth Næss;1969;K;N;J
0101;Halden;SP;Senterpartiet;12;Arne Vidar Suther;1955;M;N;J
0101;Halden;SP;Senterpartiet;13;Brit Elisabeth Due;1965;K;N;J
0101;Halden;SP;Senterpartiet;14;Knut Kolberg;1941;M;N;J
0101;Halden;SP;Senterpartiet;15;Berit Kristine Olsen;1973;K;N;J
0101;Halden;SP;Senterpartiet;16;Trond Georg Jensen;1971;M;N;J
0101;Halden;SP;Senterpartiet;17;Lisbeth Høvik Svendsby;1970;K;N;J
0101;Halden;SP;Senterpartiet;18;Ola Rudolf Kristiansen;1939;M;N;J
0101;Halden;SP;Senterpartiet;19;Anne-Lise Harboe;1945;K;N;J
0101;Halden;SP;Senterpartiet;20;Tor-Einar Berger;1966;M;N;J
0101;Halden;SP;Senterpartiet;21;Solveig Irene Torp;1964;K;N;J
0101;Halden;SP;Senterpartiet;22;Morten Johannes Sundberg;1964;M;N;J
0101;Halden;SP;Senterpartiet;23;Anne-Marie Eriksen;1946;K;N;J
0101;Halden;SP;Senterpartiet;24;Martin Møgedal;1941;M;N;J
0101;Halden;SP;Senterpartiet;25;Anita Henriette Solholt;1973;K;N;J
0101;Halden;SP;Senterpartiet;26;Sverre Tormod Martinsen;1946;M;N;J
0101;Halden;SP;Senterpartiet;27;Astrid Hauge;1932;K;N;J
0101;Halden;SP;Senterpartiet;28;Thorbjørn Skottene;1954;M;N;J
0101;Halden;SP;Senterpartiet;29;Asbjørg Røsnæs;1947;K;N;J
0101;Halden;SP;Senterpartiet;30;Svein Anders Bakke;1969;M;N;J
0101;Halden;SP;Senterpartiet;31;Bjørg Vera Håkenby;1936;K;N;J
0101;Halden;SP;Senterpartiet;32;Kåre Jonny Vatvedtseter;1973;M;N;J
0101;Halden;SP;Senterpartiet;33;Jorunn Brevig;1943;K;N;J
0101;Halden;SP;Senterpartiet;34;Jens Brynild Bakke;1969;M;N;J
0101;Halden;SP;Senterpartiet;35;Arvid Johansen;1947;M;N;J
0101;Halden;SP;Senterpartiet;36;Atle Brevig;1968;M;N;J
0101;Halden;SP;Senterpartiet;37;Henning Lie;1947;M;N;J
0101;Halden;SP;Senterpartiet;38;Øivind Roar Herrebrøden;1954;M;N;J
0101;Halden;SP;Senterpartiet;39;Arne Ivar Signebøen;1941;M;N;J
0101;Halden;SP;Senterpartiet;40;Trond Vidar Holm;1937;M;N;J
0101;Halden;SP;Senterpartiet;41;Odd Helge Stumberg;1962;M;N;J
0101;Halden;SP;Senterpartiet;42;Hans Andreas Moen;1946;M;N;J
0101;Halden;SP;Senterpartiet;43;Jon Iver Stabekk;1964;M;N;J
0101;Halden;SP;Senterpartiet;44;Dieter Karl H A Næss;1945;M;N;J
0101;Halden;SP;Senterpartiet;45;Gerd Myren;1938;K;N;J
0101;Halden;SP;Senterpartiet;46;Rune Brodahl;1952;M;N;J
0101;Halden;SP;Senterpartiet;47;Jon Ola Brevig;1940;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;1;Fridtjof Dahlen;1960;M;J;J
0101;Halden;SV;Sosialistisk Venstreparti;2;Roy Eilertsen;1948;M;J;J
0101;Halden;SV;Sosialistisk Venstreparti;3;Johanne D Gjerdsbakk;1991;K;J;J
0101;Halden;SV;Sosialistisk Venstreparti;4;Sejhan Berisha;1990;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;5;Rune Gribsrød;1958;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;6;Karin Helene Bergvik;1950;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;7;Cardo Sleyman;1957;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;8;Linn Laupsa;1977;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;9;Stein Aake G Wilhelmsen;1966;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;10;Gunn Mona Ekornes;1955;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;11;Roger Helgesen Schjerva;1968;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;12;Dag Arild Brekke;1950;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;13;Liv Irene Braaten Ystrøm;1945;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;14;Jan-Erik de Vibe;1945;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;15;Else Marie Olsen;1954;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;16;Rune Staal;1950;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;17;Marit Kristin Støten;1961;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;18;Åsmund Møll Frengstad;1985;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;19;Ilirida Berisha;1992;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;20;Arild Børge Thomassen;1955;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;21;Vigdis Anne H Johansen;1950;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;22;Mons Andreas Hvattum;1951;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;23;Lisbeth Kristine Olsen;1949;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;24;Runar Drønen;1956;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;25;Berit Lindstrøm;1941;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;26;Paal Bruun;1958;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;27;Birthe Kristine Kjernlie;1954;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;28;Espen Dahl Olsen;1969;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;29;Gerd Gulbrandsen;1938;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;30;Reidar Bredo Agnalt;1947;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;31;Bente Andersen;1952;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;32;Arne-Karsten Mathisen;1949;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;33;Grethe Thoresen;1962;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;34;Frank P A Wohlert-Ryland;1965;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;35;Tove Lund;1934;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;36;Reidar Larsen;1950;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;37;Liv Torhild Ekra Ornsäter;1956;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;38;Thomas Smith;1975;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;39;Guri-Anne Hauan;1959;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;40;Torkel Heide;1942;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;41;Beate Samuelsen;1965;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;42;Geir P M Wohlert-Ryland;1958;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;43;Alfhild Oddveig Jensen;1931;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;44;Stein Andersen;1947;M;N;J
0101;Halden;SV;Sosialistisk Venstreparti;45;Jorunn Mysen;1935;K;N;J
0101;Halden;SV;Sosialistisk Venstreparti;46;Bjørn Gulbrandsen;1937;M;N;J
0101;Halden;V;Venstre;1;Geir Helge Sandsmark;1960;M;J;J
0101;Halden;V;Venstre;2;Roar Günther Andersen;1943;M;J;J
0101;Halden;V;Venstre;3;Mona Johnsen;1968;K;J;J
0101;Halden;V;Venstre;4;Sohrab Darisiro;1985;M;N;J
0101;Halden;V;Venstre;5;Sverre Johan Vogt Stang;1944;M;N;J
0101;Halden;V;Venstre;6;Jenny-Ann Filtvedt;1961;K;N;J
0101;Halden;V;Venstre;7;Ingeborg M Østby Laukvik;1988;K;N;J
0101;Halden;V;Venstre;8;Sara Maria T E Granseth;1990;K;N;J
0101;Halden;V;Venstre;9;Arnstein Hjelde;1961;M;N;J
0101;Halden;V;Venstre;10;Inger Olsen;1941;K;N;J
0101;Halden;V;Venstre;11;Per M Finnanger Sandsmark;1989;M;N;J
0101;Halden;V;Venstre;12;Arnfred Antonsen;1955;M;N;J
0101;Halden;V;Venstre;13;Miriam Wivi Idland;1961;K;N;J
0101;Halden;V;Venstre;14;Per Raymond A Vastveit;1979;M;N;J
0101;Halden;V;Venstre;15;Truls Breda;1959;M;N;J
0101;Halden;V;Venstre;16;Chro Borhan;1983;K;N;J
0101;Halden;V;Venstre;17;Kari Solveig Rehnberg;1953;K;N;J
0101;Halden;V;Venstre;18;Josef Aleksander Lindbäck;1937;M;N;J
